,fire_name,fire_size,fire_size_class,stat_cause_descr,fips_name,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,remoteness,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
4991,,75.0,C,Campfire,,40.08333333,-106.61666667,CO,1994-06-15,1994-06-18,Jun,1994-06-15 13:00:00,1994-06-18 18:00:00,3 days 00:00:00.000000000,1994-05-16,1994,May,725710,67564.08471947708,94025,1940,2020,14,1.0,File Not Found,78418.43272342258,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4992,UNITY,6.0,B,Arson,Tippah,34.8,-88.975,MS,1998-03-27,1998-03-27,Mar,1998-03-27 16:15:00,1998-03-27 18:45:00,0 days 00:00:00.000000000,1998-02-25,1998,Feb,723340,96727.2311384724,13893,1942,2020,16,0.1,723340-13893-1998.gz,69022.80872424998,9.8404076738609,10.898258706467665,11.168648648648652,0.0,5.01644657863139,5.105735660847881,5.258918918918939,0.0,71.81336696090806,70.47582697201015,71.00000000000004,0.0,153.3,66.7,26.400000000000002,0.0
4993,,1.4,B,Lightning,Lafayette,29.89,-83.23,FL,1996-06-14,,Jun,,,,1996-05-15,1996,May,722120,30947.129884884926,12833,1973,2005,12,0.1,722120-12833-1996.gz,66246.11363925,24.941641879833398,24.208239095315015,24.327777777777765,0.0,1.8198096371207522,1.9857835218093696,1.0407407407407407,0.0,72.58060678167756,69.45395799676909,75.66666666666667,0.0,0.0,0.0,0.0,0.0
4994,I 215  N/ VAN BUREN BL OF,1.0,B,Missing/Undefined,Riverside,33.883525,-117.26856399999998,CA,2011-06-24,,Jun,2011-06-24 15:21:00,,,2011-05-25,2011,May,722860,2507.634274769436,99999,2006,2017,16,0.1,722860-23119-2011.gz,84688.7156357667,16.89771071800208,18.163320463320474,20.284057971014477,22.149310344827587,2.3070759625389967,2.0957528957528995,2.364734299516913,2.213908045976998,68.10344827586212,72.19214876033048,66.12560386473427,57.75738916256157,0.0,0.0,0.0,0.0
4995,,15.0,C,Arson,,31.2231,-90.4994,MS,2004-03-09,,Mar,,,,2004-02-08,2004,Feb,722312,78228.17620450772,3908,1987,2016,12,1.0,722312-99999-2004.gz,69966.46270351997,13.870514064015515,17.453831041257367,21.59199999999999,17.501174260216057,2.8045608927705126,3.349410609037283,3.536999999999983,2.1970408642555146,76.94284064665135,77.91299559471372,74.74485596707822,65.76577540106949,0.0,0.0,0.0,0.0
4996,FY2002-WILCOX-045,1.89,B,Debris Burning,Wilcox,31.9955,-83.3101,GA,2002-03-19,2002-03-19,Mar,2002-03-19 14:25:00,2002-03-19 14:25:00,0 days 00:00:00.000000000,2002-02-17,2002,Feb,722217,70087.27316657994,63881,1997,2005,12,0.1,File Not Found,66194.74477560999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4997,,2.0,B,Debris Burning,,33.7531,-87.2239,AL,2000-03-31,,Mar,,,,2000-03-01,2000,Mar,722280,49027.391922222734,13876,1973,2005,16,0.1,722280-13876-2000.gz,68146.93981737,14.499663299663297,14.673903508771945,15.511607142857148,15.257427937915752,3.2213800904977092,3.09246119733924,2.4840909090909133,3.5513392857142407,66.77805800756626,69.01249999999997,67.74999999999999,73.04507710557517,270.99999999999994,128.9,47.4,198.60000000000005
4998,,10.0,C,Debris Burning,Rusk,32.32277999,-94.88111001,TX,2005-10-26,,Oct,,,,2005-09-26,2005,Sep,722470,17349.095405330718,3901,1973,2020,12,1.0,722470-03901-2005.gz,72249.43979086202,20.549868766404177,18.255163043478248,16.00887573964497,15.611193111931128,2.488320209973738,2.286141304347833,3.334911242603556,3.175768757687548,68.79265091863512,65.64945652173908,62.62130177514794,65.6108374384237,2.8999999999999995,0.3,0.0,33.3
4999,,3.0,B,Arson,Windham,41.6764876,-71.91507299999998,CT,2006-04-26,,Apr,2006-04-26 22:25:00,,,2006-03-27,2006,Mar,999999,38131.4244420683,54797,2002,2019,15,0.1,999999-54828-2006.gz,60169.52345878468,0.0,0.0,0.0,14.247058823529406,0.0,0.0,0.0,2.503529411764704,0.0,0.0,0.0,56.858823529411765,0.0,0.0,0.0,0.0
5000,RUBBER PILE,5.0,B,Miscellaneous,,35.275,-78.8417,NC,1997-03-29,,Mar,,,,1997-02-27,1997,Feb,691324,14849.280345986908,99999,1978,2004,15,0.1,691324-99999-1997.gz,63796.69206634,0.0,0.0,0.0,20.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0
